Name,FIPS,"# Total Population, 2023 [Estimated]","Median Household Income, 2023 [Estimated]","# Housing Occupancy Status | Occupied, 2023 [Estimated]","# Vehicles Available | Occupied housing units, 2023 [Estimated]","# Vehicles Available | No vehicle available, 2023 [Estimated]","% Transportation to Work | Car, truck, or van, 2023 [Estimated]","% Transportation to Work | Public transportation, 2023 [Estimated]","% Transportation to Work | Bicycle, 2023 [Estimated]","% Transportation to Work | Walked, 2023 [Estimated]"
"BG5039001, Wayne County, MI",261635039001,2363,28468.214861086,659,659,197,61,15.5714,2.2857,2.4286
"BG5387002, Wayne County, MI",261635387002,2341,41157.617746257,794,794,33,83.4992,4.063,0,0
"BG5180002, Wayne County, MI",261635180002,2336,36196.610598221,1006,1006,295,40.8654,6.6346,0,45.6731
"BG5388001, Wayne County, MI",261635388001,2320,46590.008331451,863,863,59,63.9831,18.5381,0,1.1653
"BG5461002, Wayne County, MI",261635461002,2320,39810.593577745,785,785,156,83.4254,1.105,0,0
"BG5018001, Wayne County, MI",261635018001,2311,58645.6,1207,1207,98,74.7927,6.2189,3.7313,1.99
"BG5397001, Wayne County, MI",261635397001,2288,26354.92024254,1095,1095,358,84.7909,0,0,9.3156
"BG5434002, Wayne County, MI",261635434002,2282,57295.148076074,649,649,46,74.711,0,0,0
"BG5370001, Wayne County, MI",261635370001,2253,57392.539948937,522,522,305,77.5701,0,0,2.8037
"BG5423002, Wayne County, MI",261635423002,2247,22292.302136623,1159,1159,121,60.5603,3.8793,0,0
"BG5042001, Wayne County, MI",261635042001,2231,35633.887286455,678,678,178,82.8188,9.5302,0,0.9396
"BG5247001, Wayne County, MI",261635247001,2210,48331.56421297,691,691,33,99.8934,0,0,0
"BG5242003, Wayne County, MI",261635242003,2202,26127.791371376,514,514,0,66.2963,0,0,0
"BG5353001, Wayne County, MI",261635353001,2175,35655.151384666,498,498,25,94.3168,10.8827,,0
"BG5001002, Wayne County, MI",261635001002,2162,40171.750322629,861,861,98,84.2781,9.9465,0,3.2086
"BG5389001, Wayne County, MI",261635389001,2160,49931.247738097,756,756,151,77.9264,0.8919,0,0
"BG5153002, Wayne County, MI",261635153002,2138,10163.585038681,1151,1151,781,70.4989,21.692,0,1.0846
"BG5422001, Wayne County, MI",261635422001,2108,32569.4,1010,1010,59,87.9615,0,0,4.0128
"BG5462011, Wayne County, MI",261635462011,2106,48145.13405064,975,975,71,72.9759,0,0,2.407
"BG5302001, Wayne County, MI",261635302001,2078,54794.8,682,682,99,61.7694,0,0,7.267
"BG5261002, Wayne County, MI",261635261002,2071,26377.2,391,391,41,97.0803,2.9197,0,0
"BG5437002, Wayne County, MI",261635437002,2066,21189.428611133,611,611,208,78.2609,5.1839,0,4.1806
"BG5457001, Wayne County, MI",261635457001,2060,26422.401928517,583,583,150,90.625,0,0,0
"BG5052002, Wayne County, MI",261635052002,2057,34279.410727744,872,872,138,96.9298,0,0,0.7018
"BG5009001, Wayne County, MI",261635009001,2046,17834.092093078,682,682,37,93.9716,6.0284,0,0
